season,castaway_id,castaway,result,result_number,jury,finalist,winner,original_tribe
1.0,US0001,Sonja,1st voted out,16.0,False,False,False,Tagi
1.0,US0002,B.B.,2nd voted out,15.0,False,False,False,Pagong
1.0,US0003,Stacey,3rd voted out,14.0,False,False,False,Tagi
1.0,US0004,Ramona,4th voted out,13.0,False,False,False,Pagong
1.0,US0005,Dirk,5th voted out,12.0,False,False,False,Tagi
1.0,US0006,Joel,6th voted out,11.0,False,False,False,Pagong
1.0,US0007,Gretchen,7th voted out,10.0,False,False,False,Pagong
1.0,US0008,Greg,8th voted out,9.0,True,False,False,Pagong
1.0,US0009,Jenna,9th voted out,8.0,True,False,False,Pagong
1.0,US0010,Gervase,10th voted out,7.0,True,False,False,Pagong
1.0,US0011,Colleen,11th voted out,6.0,True,False,False,Pagong
1.0,US0012,Sean,12th voted out,5.0,True,False,False,Tagi
1.0,US0013,Sue,13th voted out,4.0,True,False,False,Tagi
1.0,US0014,Rudy,14th voted out,3.0,True,False,False,Tagi
1.0,US0015,Kelly,Runner-up,2.0,False,True,False,Tagi
1.0,US0016,Richard,Sole Survivor,1.0,False,True,True,Tagi
2.0,US0017,Debb,1st voted out,16.0,False,False,False,Kucha
2.0,US0018,Kel,2nd voted out,15.0,False,False,False,Ogakor
2.0,US0019,Maralyn,3rd voted out,14.0,False,False,False,Ogakor
2.0,US0020,Mitchell,4th voted out,13.0,False,False,False,Ogakor
2.0,US0021,Kimmi,5th voted out,12.0,False,False,False,Kucha
2.0,US0022,Michael,Medically evacuated,11.0,False,False,False,Kucha
2.0,US0023,Jeff,6th voted out,10.0,False,False,False,Kucha
2.0,US0024,Alicia,7th voted out,9.0,True,False,False,Kucha
2.0,US0025,Jerri,8th voted out,8.0,True,False,False,Ogakor
2.0,US0026,Nick,9th voted out,7.0,True,False,False,Kucha
2.0,US0027,Amber,10th voted out,6.0,True,False,False,Ogakor
2.0,US0028,Rodger,11th voted out,5.0,True,False,False,Kucha
2.0,US0029,Elisabeth,12th voted out,4.0,True,False,False,Kucha
